Mapa dos pedagios:
[0, 3.5, 6.5, 7.3, 0, 0, 0, 0, 25.9, 18.6]
[3.5, 0, 0, 0, 8.7, 0, 0, 11.5, 0, 0]
[6.5, 0, 0, 13.2, 13.4, 14.6, 15.3, 0, 0, 0]
[7.3, 0, 13.2, 0, 16.1, 16.3, 0, 0, 0, 0]
[0, 8.7, 13.4, 16.1, 0, 0, 18.3, 0, 0, 0]
[0, 0, 14.6, 16.3, 0, 0, 20.9, 0, 0, 0]
[0, 0, 15.3, 0, 18.3, 20.9, 0, 0, 0, 0]
[0, 11.5, 0, 0, 0, 0, 0, 0, 0, 0]
[25.9, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[18.6, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[[0, 1], [3.5, 1], [6.5, 1], [7.3, 1], [12.2, 2], [21.1, 3], [21.8, 3], [15.0, 2], [25.9, 1], [18.6, 1]]
